#,Unknown0,Unknown1
0,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAPERSON_000_220,"부족하다…… 이 정도로는…….
악을 물리치는 힘은 얻을 수 없을지니……."
1,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAPERSON_000_221,"…… 찾아야 한다…….
바른 마음을 가진 자를……."
2,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAYOUNGD_000_230,"하아…… 귀찮아 죽겠네…….
'그것'을 잘 쓸 수 있는 방법, 뭐 없으려나."
3,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAYOUNGZ_000_231,"흠…….
전설에 따르면 '바른 마음을 가진 자'라고 했었지?"
4,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAYOUNGK_000_232,"바른 마음을 가진 자라면 다룰 수 있을 거라고?
그것뿐이라면 아무 문제가 없다는 뜻으로 들리는군."
5,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAYOUNGG_000_233,"(-젊은 날의 갈러프-)아니, 그렇게 간단한 문제가 아니야.
계속 사용하다간 마음을 지배 당해서
주위에서 눈치챌 무렵에는 투신이 완성될걸?"
6,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAYOUNGD_000_234,그렇지…….
7,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAYOUNGZ_000_235,"에테르를 모조리 없애는 방법이 떠오르지 않는 한,
부아는 치밀어도 현상 유지가 최선이야."
8,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAYOUNGK_000_236,"하지만 지맥에서 떨어뜨려 계속 봉인해 놓는다 해도
언젠가는 다시 봉인이 풀릴 것이 뻔하다고.
뭔가 상황을 역전시킬 수 있는 결정타가 필요한데……."
9,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAYOUNGD_000_237,"뭔가 에테르를 쭈욱 흘려보낼 방법이
어디 없을까나……."
10,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAYOUNGG_000_238,(-젊은 날의 갈러프-)지맥…… 역전…… 에테르를 흘려보낸다…….
11,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAYOUNGZ_000_239,"이봐, 왜 그래 갈러프?
뭐 생각나는 거라도 있어?"
12,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAYOUNGG_000_240,"(-젊은 날의 갈러프-)……그래, 생각났어!"
13,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_EUREKAYOUNGG_000_241,"(-젊은 날의 갈러프-)'그것'을 토벌할 수 있는 방법이 떠올랐어.
……그래, 흐름을 역전시키는 거야!"
14,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_SYSTEM_000_250,"수수께끼의 남자가 있던 곳 옆에 뭔가 떨어져 있다…….
가까이 가서 조사해보자."
15,TEXT_CTSERKEUREKA2EVENTSHROUDED_00502_TALK_ACTOR,（★未使用／削除予定★）
