#,Unknown0,Unknown1
0,TEXT_KINGLA305_04986_SEQ_00,와추메키메키 종합상가에 있는 셰로쟈는 다음 시제품 제작에 대해 고민 중인 듯하다.
1,TEXT_KINGLA305_04986_SEQ_01,펠루펠루족을 위한 주스를 만들기 위해 그들의 생활을 조사하러 가기로 했다. 오르코 파차의 와춘 펠로에서 '할나루크'와 대화하자.
2,TEXT_KINGLA305_04986_SEQ_02,할나루크와 대화했다. 와춘 펠로의 주민과 대화해서 음료에 대한 정보를 모으자.
3,TEXT_KINGLA305_04986_SEQ_03,주민들에게 정보를 모았다. 와춘 펠로 앞에 도착해 있을 '셰로쟈'와 대화하자.
4,TEXT_KINGLA305_04986_SEQ_04,셰로쟈와 대화했다. 와춘 펠로에 있는 '할나루크'와 대화하자.
5,TEXT_KINGLA305_04986_SEQ_05,"할나루크와 대화한 후, 셰로쟈의 꿈이 좌절되었던 이야기를 들었다. 와춘 펠로에 있는 '할나루크'와 다시 대화하자."
6,TEXT_KINGLA305_04986_SEQ_06,"할나루크와 다시 대화했다. '' '' 제작해서 와춘 펠로에 있는 '셰로쟈'에게 건네자.

※ '' 잃어버렸을 때는 할나루크에게 말을 걸어주세요. 재료를 다시 받아서 재도전할 수 있습니다."
7,TEXT_KINGLA305_04986_SEQ_07,낙담한 셰로쟈에게 '' 건네며 격려했다. 셰로쟈는 펠루펠루족을 위한 주스의 힌트를 얻었다고 한다. 와추메키메키 종합상가로 돌아간 '셰로쟈'와 대화하자.
8,TEXT_KINGLA305_04986_SEQ_08,셰로쟈와 대화했다. 셰로쟈는 여느 때보다 더욱 주스 만들기에 열중하기 시작한 듯하다.
9,TEXT_KINGLA305_04986_SEQ_09,
10,TEXT_KINGLA305_04986_SEQ_10,
11,TEXT_KINGLA305_04986_SEQ_11,
12,TEXT_KINGLA305_04986_SEQ_12,
13,TEXT_KINGLA305_04986_SEQ_13,
14,TEXT_KINGLA305_04986_SEQ_14,
15,TEXT_KINGLA305_04986_SEQ_15,
16,TEXT_KINGLA305_04986_SEQ_16,
17,TEXT_KINGLA305_04986_SEQ_17,
18,TEXT_KINGLA305_04986_SEQ_18,
19,TEXT_KINGLA305_04986_SEQ_19,
20,TEXT_KINGLA305_04986_SEQ_20,
21,TEXT_KINGLA305_04986_SEQ_21,
22,TEXT_KINGLA305_04986_SEQ_22,
23,TEXT_KINGLA305_04986_SEQ_23,
24,TEXT_KINGLA305_04986_TODO_00,와춘 펠로에서 할나루크와 대화
25,TEXT_KINGLA305_04986_TODO_01,와춘 펠로에서 정보 수집
26,TEXT_KINGLA305_04986_TODO_02,셰로쟈와 대화
27,TEXT_KINGLA305_04986_TODO_03,할나루크와 대화
28,TEXT_KINGLA305_04986_TODO_04,할나루크와 다시 대화
29,TEXT_KINGLA305_04986_TODO_05,제작수첩 종합상가 거래: 제작
30,TEXT_KINGLA305_04986_TODO_06,툴라이욜라에서 셰로쟈와 대화
31,TEXT_KINGLA305_04986_TODO_07,
32,TEXT_KINGLA305_04986_TODO_08,
33,TEXT_KINGLA305_04986_TODO_09,
34,TEXT_KINGLA305_04986_TODO_10,
35,TEXT_KINGLA305_04986_TODO_11,
36,TEXT_KINGLA305_04986_TODO_12,
37,TEXT_KINGLA305_04986_TODO_13,
38,TEXT_KINGLA305_04986_TODO_14,
39,TEXT_KINGLA305_04986_TODO_15,
40,TEXT_KINGLA305_04986_TODO_16,
41,TEXT_KINGLA305_04986_TODO_17,
42,TEXT_KINGLA305_04986_TODO_18,
43,TEXT_KINGLA305_04986_TODO_19,
44,TEXT_KINGLA305_04986_TODO_20,
45,TEXT_KINGLA305_04986_TODO_21,
46,TEXT_KINGLA305_04986_TODO_22,
47,TEXT_KINGLA305_04986_TODO_23,
48,TEXT_KINGLA305_04986_HALNARUK_000_000,"기운이 샘솟는 하누하누 주스……
무지무지 기뻐해서 모브도 기뻐~!"
49,TEXT_KINGLA305_04986_XEEROLJA_000_000,"지금까지 만든 신메뉴는 전부 호평 일색이야.
덕분에 매출도 순조롭고."
50,TEXT_KINGLA305_04986_XEEROLJA_000_001,"근데 사실은 지금껏 도전하지 못한 어려운 과제가 있거든.
이제 슬슬 도전해 볼까 싶어."
51,TEXT_KINGLA305_04986_XEEROLJA_000_002,"펠루펠루족을 위한 주스를 만들어 보고 싶은데…….
그들은 '마테차', '커피', '메스칼'을 직접 만들고
주스보다 그 음료들을 선호하는 경향이 있거든."
52,TEXT_KINGLA305_04986_XEEROLJA_000_003,"특히 마테차 같은 경우는 건강에 좋기로 유명해.
그 때문인지 펠루펠루족이 몸이 안 좋아 고민이라는 얘기를
난 들어 본 적이 없어."
53,TEXT_KINGLA305_04986_HALNARUK_000_005,"펠루펠루족 음료 아~주 강력해……
마테차 엄청엄청 몸에 좋아모브~"
54,TEXT_KINGLA305_04986_XEEROLJA_000_006,"문제가 없다면 그건 그거대로 기쁜 일이지.
하지만 만약 펠루펠루족에게 남모를 고민거리가 있다면
그걸 헤아려서 해결해 주고 싶어."
55,TEXT_KINGLA305_04986_XEEROLJA_000_007,（★未使用／削除予定★）
