key,0,1
#,,
int32,str,str
0,"TEXT_LOTTERYEXCHANGESHOPMYCTEMPORARYITEM_UI_TITLE","아이템 감정"
1,"TEXT_LOTTERYEXCHANGESHOPMYCTEMPORARYITEM_UI_SUBTITLE",""
2,"TEXT_LOTTERYEXCHANGESHOPMYCTEMPORARYITEM_UI_NOITEM","감정 가능한 아이템을 갖고 있지 않습니다."
3,"TEXT_LOTTERYEXCHANGESHOPMYCTEMPORARYITEM_RESULT_UI_TITLE","아이템 감정 결과"
4,"TEXT_LOTTERYEXCHANGESHOPMYCTEMPORARYITEM_RESULT_UI_SUBTITLE",""
5,"TEXT_LOTTERYEXCHANGESHOPMYCTEMPORARYITEM_RESULT_UI_NEXT","이어서 감정"
6,"TEXT_LOTTERYEXCHANGESHOPMYCTEMPORARYITEM_CONFIRM_SINGLE","<Sheet(Item,IntegerParameter(1),0)/>의
아이템 감정을 실시합니다. 계속하시겠습니까?

앞으로 <Value>IntegerParameter(2)</Value>번 가능합니다. (보유 수: <Value>IntegerParameter(3)</Value>)"
7,"TEXT_LOTTERYEXCHANGESHOPMYCTEMPORARYITEM_CONFIRM_MULTI","<Sheet(Item,IntegerParameter(1),0)/>×<Value>IntegerParameter(4)</Value><13>FF07022003E80503FF04EBA5BCFF04EC9D84</13> 사용해서
아이템 감정을 실시합니다. 계속하시겠습니까?

앞으로 <Value>IntegerParameter(2)</Value>번 가능합니다. (보유 수: <Value>IntegerParameter(3)</Value>)"
